iter	Logloss
151	0.400534681
152	0.4002994379
153	0.4000436782
154	0.3997520572
155	0.3994619196
156	0.3992645915
157	0.3990477148
158	0.3987450249
159	0.3982115262
160	0.3977201337
161	0.3974599094
162	0.3973341364
163	0.39682558
164	0.396759127
165	0.3962847947
166	0.3960867002
167	0.3958129162
168	0.3948965468
169	0.3946963006
170	0.3943333058
171	0.393978975
172	0.3938426375
173	0.3934061594
174	0.3932431444
175	0.3930782741
176	0.3929424363
177	0.3923905802
178	0.3922970588
179	0.392086321
180	0.391976071
181	0.391795927
182	0.391587832
183	0.3913998582
184	0.3911755319
185	0.3907038638
186	0.3905829936
187	0.3899923527
188	0.3897966585
189	0.3896770842
190	0.3894586102
191	0.3893409077
192	0.3889064965
193	0.3887979318
194	0.3886075659
195	0.3884822953
196	0.387876399
197	0.3875494662
198	0.3871672604
199	0.3870385419
200	0.3869184951
201	0.3866244381
202	0.3865302181
203	0.3863864566
204	0.3861775945
205	0.3859422764
206	0.3853262553
207	0.3851579602
208	0.3850235907
209	0.3848814333
210	0.3846113895
211	0.3843301703
212	0.3840909517
213	0.3839109759
214	0.3837562308
215	0.3833289806
216	0.3831920528
217	0.3831415683
218	0.3828981762
219	0.3824950419
220	0.3823293495
221	0.3818873277
222	0.3817302872
223	0.3815853051
224	0.3814889955
225	0.3813071754
226	0.3811981483
227	0.3810778721
228	0.3809548852
229	0.3808261033
230	0.3807483963
231	0.380396254
232	0.3802500796
233	0.3800337854
234	0.3799595648
235	0.37975619
236	0.3796705929
237	0.3795345346
238	0.3793713341
239	0.3791933548
240	0.3791199406
241	0.3789571036
242	0.3788327639
243	0.3787285229
244	0.3786215241
245	0.3785343355
246	0.3782681365
247	0.3778958918
248	0.3778065169
249	0.3777037995
250	0.3775394649
251	0.3772151555
252	0.3771248892
253	0.3769584502
254	0.3767846693
255	0.3766070278
256	0.376476477
257	0.3763732647
258	0.3762286387
259	0.3761448383
260	0.3760285439
261	0.3759339632
262	0.375793219
263	0.3756367627
264	0.3754715851
265	0.3753064061
266	0.3747950165
267	0.3746692137
268	0.3744133223
269	0.3743651399
270	0.3742160278
271	0.3740696603
272	0.3739811893
273	0.3738175449
274	0.3737250838
275	0.3736386217
276	0.3735071958
277	0.3733621694
278	0.3731874589
279	0.3730577438
280	0.372971112
281	0.3728075493
282	0.3726161953
283	0.3725049033
284	0.3723484233
285	0.3721629874
286	0.3714151599
287	0.3712897064
288	0.3711754802
289	0.3710940854
290	0.3709994324
291	0.370869721
292	0.3707421237
293	0.3705835763
294	0.3704996709
295	0.37037231
296	0.3702716303
297	0.3700427626
298	0.3697805746
299	0.3697003415
300	0.3695587068
301	0.3694190502
302	0.3692707832
303	0.3688801752
304	0.368675813
305	0.3685390036
306	0.368406021
307	0.3682539349
308	0.3681366184
309	0.3680495427
310	0.3679397382
311	0.3678021292
312	0.3677408023
313	0.3675949557
314	0.3674406413
315	0.3672613062
316	0.3670662637
317	0.3669254382
318	0.3665482593
319	0.3659717928
320	0.3658278527
321	0.3657077299
322	0.3655915932
323	0.3653419004
324	0.365184336
325	0.3650405989
326	0.3648848716
327	0.3647729752
328	0.3646458344
329	0.3645077794
330	0.3643734585
331	0.3642618357
332	0.3641338866
333	0.3640098888
334	0.363875783
335	0.3637311187
336	0.3636076369
337	0.3635071985
338	0.3633907079
339	0.3632951904
340	0.3631471569
341	0.3630504247
342	0.3629661358
343	0.3628356863
344	0.3627184469
345	0.3621978805
346	0.3618670647
347	0.3617370641
348	0.361554053
349	0.361407935
350	0.3612415596
351	0.3609445252
352	0.3607818471
353	0.3606703685
354	0.3605744209
355	0.3604554861
356	0.3604008504
357	0.3602908546
358	0.3601589252
359	0.3600050179
360	0.3598738783
361	0.3596965618
362	0.3595283681
363	0.3594253937
364	0.3592204289
365	0.3591304831
366	0.3590409529
367	0.3589239918
368	0.3587685936
369	0.3586100916
370	0.3585024897
371	0.358420403
372	0.3582767745
373	0.3581796548
374	0.3580544082
375	0.3579524687
376	0.3578454622
377	0.3576898863
378	0.3575612732
379	0.3574308661
380	0.3570569786
381	0.3569305733
382	0.3568143169
383	0.356722632
384	0.3566092875
385	0.3564816586
386	0.3563321662
387	0.3561213492
388	0.3558595246
389	0.3557196341
390	0.3556332939
391	0.3554561189
392	0.3553730084
393	0.35523364
394	0.3547182234
395	0.3545838831
396	0.3544720313
397	0.3543456805
398	0.3542200581
399	0.3541107599
400	0.3538964093
401	0.3537230271
402	0.3535693696
403	0.3531563656
404	0.3530359741
405	0.3525094313
406	0.3523880222
407	0.3522887348
408	0.3521446386
409	0.3520147351
410	0.351910564
411	0.3517405163
412	0.3515984939
413	0.3514367402
414	0.3513400299
415	0.3512079313
416	0.3508700256
417	0.3507563124
418	0.3506579971
419	0.3505008369
420	0.3503218665
421	0.3502071988
422	0.3498410494
423	0.3497061449
424	0.3494125902
425	0.3492659733
426	0.3491636274
427	0.3490230844
428	0.3488583261
429	0.3486959083
430	0.3485677474
431	0.3484760878
432	0.3483542655
433	0.3481800692
434	0.348022746
435	0.3478861559
436	0.3477563919
437	0.3476318373
438	0.3474303711
439	0.3473193457
440	0.3471953771
441	0.3470749574
442	0.346921112
443	0.3467828176
444	0.3466650378
445	0.3464960536
446	0.3463697655
447	0.3461546922
448	0.3460734441
449	0.3459537186
450	0.3458172481
451	0.345700412
452	0.3455263296
453	0.3453491283
454	0.3452254131
455	0.3450930529
456	0.3449278568
457	0.3447475936
458	0.3445895753
459	0.3444709158
460	0.3442787615
461	0.344178819
462	0.3440281116
463	0.3438184428
464	0.3436341674
465	0.3434927277
466	0.3433493925
467	0.3431974193
468	0.3430813505
469	0.3429471669
470	0.3428511766
471	0.3426861034
472	0.3424928917
473	0.3423815771
474	0.3422423338
475	0.3420990042
476	0.3419470052
477	0.3417661291
478	0.3416429355
479	0.3415022051
480	0.3413501035
481	0.3412151468
482	0.3410483172
483	0.3408686913
484	0.3407451058
485	0.3406612324
486	0.3405198908
487	0.3403190837
488	0.3401183181
489	0.3399528769
490	0.3397813854
491	0.3395655611
492	0.3393740862
493	0.3392054892
494	0.3390372314
495	0.3388740535
496	0.3387181671
497	0.3385344722
498	0.3383634324
499	0.3381859501
500	0.337683508
501	0.3374941032
502	0.3372798339
503	0.3371641958
504	0.3370069282
505	0.3367941154
506	0.3366592781
507	0.3361010954
508	0.3359251427
509	0.3357493031
510	0.3355682092
511	0.3354004757
512	0.335258824
513	0.335044236
514	0.334863949
515	0.3346914163
516	0.3344918601
517	0.3343749482
518	0.3341797405
519	0.3339716436
520	0.3337845208
521	0.3335920485
522	0.3334067611
523	0.3332193942
524	0.3330590896
525	0.3328946809
526	0.3327552236
527	0.3325489673
528	0.3324086898
529	0.3322160725
530	0.3320348252
531	0.3318782214
532	0.331687056
533	0.3313879344
534	0.3312384574
535	0.3310813496
536	0.3308822241
537	0.3307161604
538	0.3305381538
539	0.3303547505
540	0.3301752501
541	0.3299798797
542	0.3297953526
543	0.3296353279
544	0.329480233
545	0.3293036998
546	0.3291257113
547	0.3289750862
548	0.328794628
549	0.3286098031
550	0.3284116926
551	0.3282192057
552	0.3280239925
553	0.3278323884
554	0.3275744317
555	0.327380874
556	0.3272179352
557	0.3270641989
558	0.326868141
559	0.326684081
560	0.3265246566
561	0.3263747936
562	0.3259977783
563	0.3258087365
564	0.3256201541
565	0.3254397157
566	0.3252676499
567	0.3251240586
568	0.3249365928
569	0.3247473945
570	0.3246095951
571	0.3244355663
572	0.3242476638
573	0.3240545326
574	0.3238852927
575	0.3237035322
576	0.3235359489
577	0.3233562504
578	0.3231730359
579	0.3229855671
580	0.3228068113
581	0.3226332538
582	0.3224387789
583	0.3222618605
584	0.3220908187
585	0.3211595535
586	0.3205571739
587	0.3203777135
588	0.3201941998
589	0.3200342202
590	0.319856211
591	0.3196746309
592	0.3194954911
593	0.3193221772
594	0.3191469637
595	0.3183477166
596	0.3181750426
597	0.3179965681
598	0.317722348
599	0.317543297
600	0.3173637583
601	0.3167069056
602	0.3165530664
603	0.3163875458
604	0.3162155707
605	0.3160474449
606	0.3158771043
607	0.3157054541
608	0.3155392035
609	0.315364556
610	0.315201887
611	0.3150335097
612	0.3148624108
613	0.3146930678
614	0.3145336993
615	0.3143580289
616	0.3141828517
617	0.3140322696
618	0.3138653663
619	0.3137010994
620	0.3135334637
621	0.3133745758
622	0.3132087062
623	0.3123685402
624	0.3121998762
625	0.3120370971
626	0.3118751806
627	0.3117100338
628	0.3115570422
629	0.3112999538
630	0.3111459701
631	0.3109846057
632	0.3104188931
633	0.3102681997
634	0.3101058353
635	0.3099479632
636	0.3098080927
637	0.309648398
638	0.3093199022
639	0.3091548286
640	0.3089975491
641	0.3087498766
642	0.3085934444
643	0.3083486755
644	0.3081887918
645	0.3076667459
646	0.307508682
647	0.3068633693
648	0.3062285389
649	0.3060689259
650	0.3059040045
651	0.3057466035
652	0.3055911586
653	0.3054333205
654	0.3046411137
655	0.3044848811
656	0.3043315962
657	0.3041641244
658	0.3036136451
659	0.3034560463
660	0.3032997985
661	0.3031466671
662	0.3029943426
663	0.3028378748
664	0.3026860089
665	0.3025337401
666	0.3023598035
667	0.3015788468
668	0.301429682
669	0.3012770356
670	0.3011271702
671	0.3009752104
672	0.3008261737
673	0.3006790084
674	0.3005298706
675	0.3003843801
676	0.3002263023
677	0.3000759081
678	0.2993951204
679	0.2992457708
680	0.2990925012
681	0.2989309983
682	0.2987833383
683	0.298632428
684	0.2977458745
685	0.2974546829
686	0.2973086719
687	0.2971657849
688	0.2970238999
689	0.2968487138
690	0.296706919
691	0.2965656634
692	0.2958802261
693	0.2957305062
694	0.2955703878
695	0.2954216397
696	0.2952806552
697	0.2945675581
698	0.2944204124
699	0.294277509
700	0.2941037157
701	0.2939581237
702	0.2938146704
703	0.2936739181
704	0.2934014278
705	0.2932632487
706	0.2931202647
707	0.2925572621
708	0.2924126436
709	0.2922748836
710	0.2921370125
711	0.2919995056
712	0.291856042
713	0.2917172403
714	0.2915812464
715	0.2914435628
716	0.2913000818
717	0.2911650448
718	0.2905995632
719	0.290464477
720	0.2903320244
721	0.2901939108
722	0.290061115
723	0.2899259917
724	0.2897869926
725	0.2896504152
726	0.2891234022
727	0.2889908667
728	0.2888590797
729	0.288723403
730	0.2880874435
731	0.2879545107
732	0.2878233273
733	0.2876692823
734	0.2875346595
735	0.2874009168
736	0.2872663206
737	0.2871320726
738	0.2869890291
739	0.2864820587
740	0.2862171792
741	0.2860898013
742	0.2859603378
743	0.2858344617
744	0.2856801011
745	0.2855561613
746	0.2854214053
747	0.2852892489
748	0.2846343292
749	0.2845023515
750	0.2843788277
751	0.2842476695
752	0.2841154184
753	0.2839893055
754	0.2838596271
755	0.283729374
756	0.283599446
757	0.28347314
758	0.2833438481
759	0.2832134324
760	0.2830855372
761	0.282961598
762	0.282837728
763	0.2827093843
764	0.2825715096
765	0.2824446135
766	0.2823218829
767	0.2821869654
768	0.2820678307
769	0.281493805
770	0.2813659155
771	0.2812401569
772	0.2806013278
773	0.2804828057
774	0.2803560431
775	0.280231174
776	0.2801081791
777	0.2799853114
778	0.2798654942
779	0.2797410605
780	0.2796158304
781	0.2794957588
782	0.2792337447
783	0.2791136256
784	0.2789946503
785	0.2788754104
786	0.2787564676
787	0.2786415217
788	0.278523624
789	0.2784018886
790	0.2782769753
791	0.278172234
792	0.2780507227
793	0.2779298074
794	0.2778116618
795	0.2776982936
796	0.2775824621
797	0.2774423358
798	0.2773221865
799	0.2772065603
800	0.2769471896
801	0.2768277008
802	0.2767082164
803	0.2765860402
804	0.2764709369
805	0.2763591403
806	0.2762407854
807	0.2761262617
808	0.276016066
809	0.2755996028
810	0.2754843248
811	0.2753664597
812	0.2752195542
813	0.2751063405
814	0.2748557379
815	0.2743165744
816	0.2742042981
817	0.2740867802
818	0.2739741417
819	0.2738644663
820	0.2737555223
821	0.2736493668
822	0.2735373963
823	0.2733735031
824	0.2732586409
825	0.2731426112
826	0.2730249248
827	0.2729138887
828	0.2727988457
829	0.2721825395
830	0.27207327
831	0.2719586663
832	0.2718438925
833	0.2717374874
834	0.2714914168
835	0.2713753926
836	0.2712675319
837	0.2711535766
838	0.2710377327
839	0.2709441874
840	0.2703696164
841	0.2702584367
842	0.2701492475
843	0.2700360933
844	0.2699216671
845	0.2697678485
846	0.2696626971
847	0.269554663
848	0.2694446729
849	0.269337069
850	0.2692175264
851	0.2687013493
852	0.2685892956
853	0.2684803
854	0.2683731374
855	0.2682618194
856	0.2681509347
857	0.2679086324
858	0.2678020738
859	0.2671894018
860	0.2670804587
861	0.2664992096
862	0.2663879424
863	0.2662772399
864	0.2656425566
865	0.2655319853
866	0.2654252251
867	0.2653175028
868	0.2652114203
869	0.2650996915
870	0.264992199
871	0.2648902194
872	0.2647811331
873	0.2646707218
874	0.2645621572
875	0.2644535424
876	0.2643432023
877	0.2636796183
878	0.2630201549
879	0.2629175989
880	0.2628093332
881	0.2627082328
882	0.2622116324
883	0.2621022416
884	0.2619945518
885	0.2618698638
886	0.2617625335
887	0.2616540205
888	0.2615509626
889	0.2614429529
890	0.2613194009
891	0.2612199739
892	0.26111596
893	0.2610099704
894	0.2609081386
895	0.2608012904
896	0.2606796247
897	0.2605743787
898	0.2604457735
899	0.2603433699
900	0.2602424584
901	0.260141701
902	0.2600440043
903	0.2599456463
904	0.2598454126
905	0.2597452824
906	0.2595891574
907	0.259435759
908	0.2593407931
909	0.259235257
910	0.2591316918
911	0.2589044085
912	0.2587991595
913	0.2586995463
914	0.2585963708
915	0.2584971428
916	0.2583942941
917	0.258291485
918	0.2581928055
919	0.2574427143
920	0.257063573
921	0.2569606462
922	0.2563546197
923	0.2562584846
924	0.2561547283
925	0.2560574946
926	0.2559537485
927	0.2558517318
928	0.2557498619
929	0.2556471867
930	0.2549542341
931	0.2548522471
932	0.254757552
933	0.2542114973
934	0.2541138926
935	0.2540233313
936	0.253922439
937	0.2538139156
938	0.2537132954
939	0.2536278476
940	0.2535266068
941	0.2534254502
942	0.2529240066
943	0.2528302874
944	0.2527304383
945	0.2526393894
946	0.2525437187
947	0.2524481664
948	0.2523414652
949	0.2518085263
950	0.2517114219
951	0.2516126058
952	0.2515139035
953	0.2514189214
954	0.2513289089
955	0.2509447256
956	0.250845011
957	0.2507457709
958	0.2506478444
959	0.2505545649
960	0.2504569431
961	0.2503594828
962	0.2502622252
963	0.2501637828
964	0.2500702059
965	0.2499723591
966	0.2498776655
967	0.24978471
968	0.2496885116
969	0.2495924251
970	0.2493783993
971	0.2492843837
972	0.249188323
973	0.2490958028
974	0.2485777857
975	0.2484805572
976	0.2483849038
977	0.2482971048
978	0.2482051557
979	0.2481132347
980	0.2475407343
981	0.2474499221
982	0.2473546069
983	0.2472366456
984	0.2465348516
985	0.2464428933
986	0.2460200789
987	0.2459249547
988	0.2458301639
989	0.2457284732
990	0.2456361952
991	0.2455476237
992	0.2454613108
993	0.2453736955
994	0.2452830944
995	0.2451428901
996	0.2446520325
997	0.2445639027
998	0.2444782
999	0.2443827397
